aam_appasset
pk_asset,assetname,dataidname
1001Z310000000039ZYN,业务事件插件-费用账表同步,费用账表同步
1001Z310000000039ZW1,菜单-报销标准设置,报销标准设置
1001Z310000000039ZRY,单据模板-报销类型,报销类型
1001Z310000000039ZRZ,单据模板-费用结转单列表,费用结转单列表
1001Z310000000039ZS0,单据模板-费用结转模板卡片,费用结转模板卡片
1001Z310000000039ZS1,单据模板-授权代理设置卡片,授权代理设置卡片
1001Z310000000039ZS2,单据模板-授权代理设置列表,授权代理设置列表
1001Z310000000039ZS3,单据模板-明细联查,明细联查
1001Z310000000039ZS4,单据模板-冲借款模板,冲借款模板
1001Z310000000039ZS5,单据模板-冲借款详细模板,冲借款详细模板
1001Z310000000039ZS6,单据模板-授权代理模板,授权代理模板
1001Z310000000039ZS7,单据模板-借款单默认模板,借款单默认模板
1001Z310000000039ZS9,单据模板-卡片授权代理人,卡片授权代理人
1001Z310000000039ZSB,单据模板-冲借款模板,冲借款模板
1001Z31000000003A033,报表-借款人借款明细账,借款人借款明细账
1001Z31000000003A03J,报表-借款余额表,借款余额表
1006Z310000000018VXG,编码规则实体-借款单据,借款单据
1006Z310000000018VXH,编码规则实体-报销单据,报销单据
1001Z31000000003A03K,报表-借款人借款账龄分析(明细),借款人借款账龄分析(明细)
1001Z31000000003A03L,报表-借款人借款账龄分析(汇总),借款人借款账龄分析(汇总)
1001Z310000000039ZQQ,功能-报销标准设置,报销标准设置
1001Z310000000039ZQS,功能-预算联查单据,预算联查单据
1001Z310000000039ZQT,功能-单据管理,单据管理
1001Z310000000039ZQU,功能-借款控制设置-组织,借款控制设置-组织
1001Z310000000039ZQV,功能-交通费报销单,交通费报销单
1001Z310000000039ZQW,功能-授权代理设置,授权代理设置
1001Z310000000039ZQX,功能-会议费借款单,会议费借款单
1001Z310000000039ZQZ,功能-礼品费报销单,礼品费报销单
1001Z310000000039ZR0,功能-招待费报销单,招待费报销单
1001Z310000000039ZR1,功能-会议费报销单,会议费报销单
1001Z310000000039ZR2,功能-还款单,还款单
1001Z310000000039ZR3,功能-单据查询,单据查询
1001Z310000000039ZR4,功能-个人授权设置-集团,个人授权设置-集团
1001Z310000000039ZR5,功能-借款账龄分析查询,借款账龄分析查询
1001Z310000000039ZSC,单据模板-通讯费报销单移动模板,通讯费报销单移动模板
1001Z310000000039ZPM,功能-待摊费用摊销,待摊费用摊销
1001Z310000000039ZPN,功能-报销管理,报销管理
1001Z310000000039ZPO,功能-费用申请单执行情况查询,费用申请单执行情况查询
1001Z310000000039ZPP,功能-期初单据,期初单据
1001Z310000000039ZPQ,功能-费用结转,费用结转
1001Z310000000039ZPS,功能-费用申请单管理,费用申请单管理
1001Z310000000039ZPT,功能-费用申请控制规则设置,费用申请控制规则设置
1001Z310000000039ZPV,功能-费用申请单,费用申请单
1001Z310000000039ZPW,功能-成本中心趋势分析,成本中心趋势分析
1001Z310000000039ZPX,功能-费用承担部门趋势分析,费用承担部门趋势分析
1001Z310000000039ZPY,功能-分摊规则设置-组织,分摊规则设置-组织
1001Z310000000039ZPZ,功能-收支项目趋势分析,收支项目趋势分析
1001Z310000000039ZQ1,功能-成本中心费用明细账,成本中心费用明细账
1001Z310000000039ZQ2,功能-部门费用明细账,部门费用明细账
1001Z310000000039ZQ3,功能-成本中心汇总表,成本中心汇总表
1001Z310000000039ZQ4,功能-单位费用明细账,单位费用明细账
1001Z310000000039ZQ5,功能-费用单位汇总表,费用单位汇总表
1001Z310000000039ZSD,单据模板-通讯费报销单默认模板,通讯费报销单默认模板
1001Z310000000039ZR6,功能-查询,查询
1001Z310000000039ZR7,功能-常用单据设置-组织,常用单据设置-组织
1001Z310000000039ZR8,功能-借款控制设置-集团,借款控制设置-集团
1001Z310000000039ZR9,功能-报表,报表
1001Z310000000039ZSG,单据模板-差旅费报销单移动模板,差旅费报销单移动模板
1001Z310000000039ZSH,单据模板-差旅费报销单默认模板,差旅费报销单默认模板
1001Z310000000039ZSI,单据模板-差旅费借款单移动模板,差旅费借款单移动模板
1001Z310000000039ZSL,单据模板-授权代理人设置,授权代理人设置
1001Z310000000039ZSM,单据模板-会议费报销单移动模板,会议费报销单移动模板
1001Z310000000039ZSN,单据模板-会议费报销单默认模板,会议费报销单默认模板
1001Z310000000039ZSO,单据模板-会议费借款单移动模板,会议费借款单移动模板
1001Z310000000039ZSP,单据模板-会议费借款单默认模板,会议费借款单默认模板
1001Z310000000039ZSQ,单据模板-礼品费报销单移动模板,礼品费报销单移动模板
1001Z310000000039ZSR,单据模板-礼品费报销单默认模板,礼品费报销单默认模板
1001Z310000000039ZZ6,业务事件插件-项目预算插件,项目预算插件
1001Z310000000039ZZ7,业务事件插件-项目预算插件,项目预算插件
1001Z310000000039ZZ8,业务事件插件-项目预算插件,项目预算插件
1001Z310000000039ZZ5,业务事件插件-项目预算插件,项目预算插件
1001Z310000000039ZYP,业务事件插件-费用账表同步,费用账表同步
1001Z310000000039ZYQ,业务事件插件-报销单摊销控制插件,报销单摊销控制插件
1001Z310000000039ZYR,业务事件插件-报销单摊销控制插件,报销单摊销控制插件
1001Z310000000039ZYS,业务事件插件-erm结账检查,erm结账检查
1001Z310000000039ZYT,业务事件插件-费用明细账同步,费用明细账同步
1001Z310000000039ZYW,业务事件插件-费用明细账同步,费用明细账同步
1001Z310000000039ZYX,业务事件插件-费用明细账同步,费用明细账同步
1001Z310000000039ZYY,业务事件插件-报销预算控制,报销预算控制
1001Z310000000039ZYZ,业务事件插件-借款控制插件,借款控制插件
1001Z310000000039ZZ0,业务事件插件-借款报销预算控制插件,借款报销预算控制插件
1001Z310000000039ZZ1,业务事件插件-业务单据引用校验,业务单据引用校验
1001Z310000000039ZZ2,业务事件插件-费用管理参数修改控制,费用管理参数修改控制
1001Z310000000039ZZ4,业务事件插件-事项审批单预算控制,事项审批单预算控制
1001Z310000000039ZSE,单据模板-招待费报销单移动模板,招待费报销单移动模板
1001Z310000000039ZQ6,功能-结账,结账
1001Z310000000039ZQ7,功能-报销人汇总表,报销人汇总表
1001Z310000000039ZQ8,功能-报销人费用明细账,报销人费用明细账
1001Z310000000039ZQA,功能-摊销费用查询,摊销费用查询
1001Z310000000039ZQB,功能-摊销费用查询,摊销费用查询
1001Z310000000039ZZ9,业务事件插件-结账前校验期初是否关闭,结账前校验期初是否关闭
1001Z310000000039ZRA,功能-借款账龄分析表,借款账龄分析表
1001Z310000000039ZSF,单据模板-招待费报销单默认模板,招待费报销单默认模板
1001Z310000000039ZZA,业务事件插件-结账前校验是否生效,结账前校验是否生效
1001Z310000000039ZZC,业务事件插件-签字前需要判断是否结账,签字前需要判断是否结账
1001Z310000000039ZZD,业务事件插件-报销单取消生效前要校验是否摊销生效,报销单取消生效前要校验是否摊销生效
1001Z310000000039ZZE,业务事件插件-费用结账确认前需要校验结账情况,费用结账确认前需要校验结账情况
1001Z310000000039ZZF,业务事件插件-费用管理设置集团基础设置预置数据,费用管理设置集团基础设置预置数据
1001Z310000000039ZZG,业务事件插件-项目预算控制插件,项目预算控制插件
1001Z31000000003A007,模块-财务会计,财务会计
1001Z31000000003A008,模块-费用管理,费用管理
1001Z31000000003A009,系统参数-审批流起点人,审批流起点人
1001Z31000000003A00C,系统参数-是否生成往来单据,是否生成往来单据
1001Z31000000003A00D,系统参数-财务核报容差范围,财务核报容差范围
1001Z310000000039ZSU,单据模板-报销类型,报销类型
1001Z310000000039ZSV,单据模板-交通费报销单移动模板,交通费报销单移动模板
1001Z310000000039ZSX,单据模板-账簿_组织关账,账簿_组织关账
1001Z310000000039ZRB,功能-成本中心费用请执行情况查询,成本中心费用请执行情况查询
1001Z310000000039ZRC,功能-借款人借款明细账,借款人借款明细账
1001Z310000000039ZQC,功能-维度对照,维度对照
1001Z310000000039ZQD,功能-单据录入,单据录入
1001Z310000000039ZQE,功能-差旅费报销单,差旅费报销单
1001Z310000000039ZQF,功能-初始设置,初始设置
1001Z310000000039ZQH,功能-报销类型设置,报销类型设置
1001Z310000000039ZQI,功能-差旅费借款单,差旅费借款单
1001Z310000000039ZQJ,功能-借款明细账查询,借款明细账查询
1001Z310000000039ZQK,功能-借款余额查询,借款余额查询
1001Z310000000039ZQL,功能-费用明细查询,费用明细查询
1001Z310000000039ZQM,功能-费用汇总查询,费用汇总查询
1001Z310000000039ZQN,功能-综合处理,综合处理
1001Z310000000039ZQO,功能-期末处理,期末处理
1001Z310000000039ZQP,功能-关账,关账
1001Z31000000003A01X,业务事件类型-ERM1002,ERM1002
1001Z31000000003A02N,业务事件类型-ERM1012,ERM1012
1001Z31000000003A03T,报表-成本中心汇总表,成本中心汇总表
1001Z31000000003A03F,报表-成本中心费用趋势图,成本中心费用趋势图
1001Z310000000039ZRJ,单据模板-费用待摊摊销信息,费用待摊摊销信息
1001Z310000000039ZY9,业务事件插件-事项审批单预算控制,事项审批单预算控制
1001Z310000000039ZYG,业务事件插件-报销单转费用结转单插件,报销单转费用结转单插件
1001Z310000000039ZRD,功能-借款人借款余额表,借款人借款余额表
1001Z310000000039ZRE,功能-申请部门费用申请执行情况查询,申请部门费用申请执行情况查询
1001Z310000000039ZRF,功能-部门费用汇总表,部门费用汇总表
1001Z310000000039ZRG,功能-申请人费用申请执行情况查询,申请人费用申请执行情况查询
1001Z310000000039ZSY,单据模板-借款报销单拉费用申请单,借款报销单拉费用申请单
1001Z310000000039ZSZ,单据模板-常用单据列表模板,常用单据列表模板
1001Z310000000039ZT5,输出模板-礼品费报销单卡片打印模板,礼品费报销单卡片打印模板
1001Z310000000039ZT6,输出模板-礼品费报销单列表打印模板,礼品费报销单列表打印模板
1001Z310000000039ZT7,输出模板-还款单列表打印模板,还款单列表打印模板
1001Z310000000039ZT8,输出模板-还款单卡片打印模板,还款单卡片打印模板
1001Z310000000039ZT9,输出模板-报销类型默认打印模板,报销类型默认打印模板
1001Z310000000039ZTA,输出模板-交通费报销单卡片打印模板,交通费报销单卡片打印模板
1001Z310000000039ZTB,输出模板-交通费报销单列表打印模板,交通费报销单列表打印模板
1001Z310000000039ZTC,输出模板-報銷預警,報銷預警
1001Z31000000003A00F,系统参数-是否允许冲销其他人的借款,是否允许冲销其他人的借款
1001Z31000000003A00G,系统参数-是否必须冲借款,是否必须冲借款
1001Z31000000003A00H,系统参数-报销标准适用规则,报销标准适用规则
1001Z310000000039ZYM,业务事件插件-费用账表同步,费用账表同步
1001Z31000000003A00J,系统参数-预算控制组织类型,预算控制组织类型
1001Z31000000003A00R,消息模板-差旅费借款单审批消息模板,差旅费借款单审批消息模板
1001Z31000000003A00S,消息模板-招待费报销单审批消息模板,招待费报销单审批消息模板
1001Z31000000003A00T,消息模板-差旅费报销单审批消息模板,差旅费报销单审批消息模板
1001Z31000000003A00U,消息模板-交通费报销单审批消息模板,交通费报销单审批消息模板
1001Z31000000003A00V,消息模板-通讯费报销单审批消息模板,通讯费报销单审批消息模板
1001Z31000000003A00X,消息模板-礼品费报销单审批消息模板,礼品费报销单审批消息模板
1001Z31000000003A00Z,消息模板-还款单审批消息模板,还款单审批消息模板
1001Z31000000003A010,消息模板-Erm Warning,Erm Warning
1001Z310000000039ZTD,输出模板-报销预警,报销预警
1001Z310000000039ZTE,输出模板-Erm Warning,Erm Warning
1001Z310000000039ZTF,输出模板-差旅费报销单打印模板,差旅费报销单打印模板
1001Z310000000039ZTG,输出模板-差旅费报销单列表打印模板,差旅费报销单列表打印模板
1001Z310000000039ZTI,输出模板-差旅费借款单列表打印模板,差旅费借款单列表打印模板
1001Z310000000039ZTJ,输出模板-费用类型默认打印模板,费用类型默认打印模板
1001Z310000000039ZTK,输出模板-个人授权设置打印模板,个人授权设置打印模板
1001Z310000000039ZTL,输出模板-会议费报销单卡片打印模板,会议费报销单卡片打印模板
1001Z310000000039ZTM,输出模板-会议费报销单列表打印模板,会议费报销单列表打印模板
1001Z310000000039ZTN,输出模板-会议费借款单卡片打印模板,会议费借款单卡片打印模板
1001Z310000000039ZTO,输出模板-会议费借款单列表打印模板,会议费借款单列表打印模板
1001Z310000000039ZTP,输出模板-费用申请单管理列表打印模板,费用申请单管理列表打印模板
1001Z310000000039ZW2,菜单-常用单据设置-集团,常用单据设置-集团
1001Z310000000039ZW4,菜单-单据查询,单据查询
1001Z310000000039ZW5,菜单-借款控制设置-组织,借款控制设置-组织
1001Z310000000039ZW6,菜单-授权代理设置,授权代理设置
1001Z310000000039ZW7,菜单-交通费报销单,交通费报销单
1001Z310000000039ZW8,菜单-会议费借款单,会议费借款单
1001Z310000000039ZW9,菜单-通讯费报销单,通讯费报销单
1001Z310000000039ZWA,菜单-礼品费报销单,礼品费报销单
1001Z310000000039ZWB,菜单-招待费报销单,招待费报销单
1001Z310000000039ZWC,菜单-会议费报销单,会议费报销单
1001Z310000000039ZWD,菜单-还款单,还款单
1001Z310000000039ZWE,菜单-借款账龄分析查询,借款账龄分析查询
1001Z310000000039ZWF,菜单-查询,查询
1001Z310000000039ZTR,输出模板-差旅费借款单卡片打印模板,差旅费借款单卡片打印模板
1001Z310000000039ZTS,输出模板-会议费借款单卡片打印模板,会议费借款单卡片打印模板
1001Z310000000039ZTT,输出模板-费用结转卡片,费用结转卡片
1001Z310000000039ZTU,输出模板-费用结转列表,费用结转列表
1001Z310000000039ZTV,输出模板-费用摊销列表,费用摊销列表
1001Z310000000039ZTW,输出模板-费用摊销卡片,费用摊销卡片
1001Z310000000039ZTX,输出模板-单据管理节点列表打印模板,单据管理节点列表打印模板
1001Z310000000039ZTY,输出模板-通讯费报销单卡片打印模板,通讯费报销单卡片打印模板
1001Z310000000039ZU0,输出模板-招待费报销单卡片打印模板,招待费报销单卡片打印模板
1001Z310000000039ZU1,输出模板-招待费报销单列表打印模板,招待费报销单列表打印模板
1001Z310000000039ZU2,输出模板-费用申请单卡片默认打印模板,费用申请单卡片默认打印模板
1001Z310000000039ZU3,输出模板-费用申请列表默认模板,费用申请列表默认模板
1001Z310000000039ZU6,查询模板-费用申请单查询默认模板,费用申请单查询默认模板
1001Z310000000039ZU7,查询模板-费用结转查询模版,费用结转查询模版
1001Z310000000039ZWG,菜单-常用单据设置-组织,常用单据设置-组织
1001Z310000000039ZWH,菜单-借款控制设置-集团,借款控制设置-集团
1001Z310000000039ZWI,菜单-报表,报表
1001Z310000000039ZWJ,菜单-借款账龄分析表,借款账龄分析表
1001Z310000000039ZWK,菜单-账表初始化,账表初始化
1001Z310000000039ZWL,菜单-借款人借款账龄分析,借款人借款账龄分析
1001Z310000000039ZWN,菜单-期初单据,期初单据
1001Z310000000039ZWP,菜单-维度对照,维度对照
1001Z310000000039ZWQ,菜单-报销人汇总表,报销人汇总表
1001Z310000000039ZWR,菜单-部门费用明细账,部门费用明细账
1001Z310000000039ZWS,菜单-报销人费用明细账,报销人费用明细账
1001Z310000000039ZWT,菜单-成本中心费用明细账,成本中心费用明细账
1001Z310000000039ZU8,查询模板-费用_报销查询模版,费用_报销查询模版
1001Z310000000039ZUA,查询模板-借款人借款余额表查询模板,借款人借款余额表查询模板
1001Z310000000039ZUB,查询模板-费用明细账查询模版,费用明细账查询模版
1001Z310000000039ZUC,查询模板-费用账明细汇总表,费用账明细汇总表
1001Z310000000039ZUD,查询模板-部门借款账龄分析,部门借款账龄分析
1001Z310000000039ZUE,查询模板-费用趋势分析(收支项目),费用趋势分析(收支项目)
1001Z310000000039ZUG,查询模板-费用趋势分析(承担部门),费用趋势分析(承担部门)
1001Z310000000039ZUH,查询模板-摊销信息分析,摊销信息分析
1001Z310000000039ZUI,查询模板-单据管理默认查询模版,单据管理默认查询模版
1001Z310000000039ZUK,查询模板-期初单据默认查询模版,期初单据默认查询模版
1001Z310000000039ZUL,查询模板-单据查询默认查询模版,单据查询默认查询模版
1001Z310000000039ZUM,查询模板-常用单据查询模板,常用单据查询模板
1001Z310000000039ZUN,查询模板-常用单据集团查询模板,常用单据集团查询模板
1001Z310000000039ZWV,菜单-单位费用明细账,单位费用明细账
1001Z310000000039ZWW,菜单-费用单位汇总表,费用单位汇总表
1001Z310000000039ZWX,菜单-收支项目趋势分析,收支项目趋势分析
1001Z310000000039ZWY,菜单-成本中心趋势分析,成本中心趋势分析
1001Z310000000039ZWZ,菜单-费用承担部门趋势分析,费用承担部门趋势分析
1001Z310000000039ZX0,菜单-报销管理,报销管理
1001Z310000000039ZX1,菜单-费用申请单录入,费用申请单录入
1001Z310000000039ZX2,菜单-结账,结账
1001Z310000000039ZSA,单据模板-借款报销结算模板,借款报销结算模板
1001Z310000000039ZYO,业务事件插件-费用账表同步,费用账表同步
1001Z310000000039ZYV,业务事件插件-费用明细账同步,费用明细账同步
1001Z310000000039ZZ3,业务事件插件-事项审批单预算控制,事项审批单预算控制
1001Z310000000039ZSK,单据模板-费用类型,费用类型
1001Z310000000039ZSS,单据模板-还款单,还款单
1001Z310000000039ZZB,业务事件插件-费用申请单回写控制,费用申请单回写控制
1001Z31000000003A00A,系统参数-费用申请单控制环节,费用申请单控制环节
1001Z310000000039ZSW,单据模板-交通费报销单默认模板,交通费报销单默认模板
1001Z31000000003A00I,系统参数-截止到本月单据全部生效,截止到本月单据全部生效
1001Z31000000003A00Q,消息模板-费用申请单审批消息模板,费用申请单审批消息模板
1001Z31000000003A00W,消息模板-会议费借款单审批消息模板,会议费借款单审批消息模板
1001Z310000000039ZTH,输出模板-差旅费借款单卡片打印模板,差旅费借款单卡片打印模板
1001Z310000000039ZW3,菜单-单据管理,单据管理
1001Z310000000039ZTZ,输出模板-通讯费报销单列表打印模板,通讯费报销单列表打印模板
1001Z310000000039ZWM,菜单-分摊结转单据对应设置-组织,分摊结转单据对应设置-组织
1001Z310000000039ZUF,查询模板-费用趋势分析(成本中心),费用趋势分析(成本中心)
1001Z310000000039ZWU,菜单-成本中心汇总表,成本中心汇总表
1001Z310000000039ZX3,菜单-费用申请单执行情况查询,费用申请单执行情况查询
1001Z310000000039ZX4,菜单-部门费用汇总表,部门费用汇总表
1001Z310000000039ZX5,菜单-申请人费用申请执行情况查询,申请人费用申请执行情况查询
1001Z310000000039ZX6,菜单-借款人借款明细账,借款人借款明细账
1001Z310000000039ZUP,查询模板-借款报销拉费用申请单查询模板,借款报销拉费用申请单查询模板
1001Z310000000039ZUQ,查询模板-费用申请单默认查询模板,费用申请单默认查询模板
1001Z310000000039ZUR,查询模板-招待费报销单默认查询模板,招待费报销单默认查询模板
1001Z310000000039ZUU,查询模板-会议费报销单默认查询模板,会议费报销单默认查询模板
1001Z310000000039ZUV,查询模板-会议费借款单默认查询模板,会议费借款单默认查询模板
1001Z310000000039ZUW,查询模板-礼品费用报销单默认查询模板,礼品费用报销单默认查询模板
1001Z310000000039ZUX,查询模板-还款单模版默认模版,还款单模版默认模版
1001Z310000000039ZUY,查询模板-交通费用报销单默认查询模板,交通费用报销单默认查询模板
1001Z310000000039ZUZ,查询模板-费用申请单明细查询,费用申请单明细查询
1001Z310000000039ZV1,查询模板-费用明细帐默认查询模板,费用明细帐默认查询模板
1001Z310000000039ZV2,查询模板-借款余额表默认查询模版,借款余额表默认查询模版
1001Z310000000039ZV3,查询模板-借款明细帐表查询模板,借款明细帐表查询模板
1001Z310000000039ZUS,查询模板-差旅费报销单默认查询模板,差旅费报销单默认查询模板
1001Z310000000039ZV0,查询模板-借款账龄分析查询模板,借款账龄分析查询模板
1001Z310000000039ZXE,业务事件插件-费用账同步,费用账同步
1001Z310000000039ZXK,业务事件插件-冲借款控制插件,冲借款控制插件
1001Z310000000039ZXP,业务事件插件-费用申请单回写控制,费用申请单回写控制
1001Z310000000039ZXR,业务事件插件-费用申请单回写控制,费用申请单回写控制
1001Z310000000039ZXZ,业务事件插件-借款控制插件,借款控制插件
1001Z310000000039ZY6,业务事件插件-费用申请单预算控制,费用申请单预算控制
1001Z310000000039ZP6,交易类型-礼品费报销单,礼品费报销单
1001Z310000000039ZPK,功能-分摊结转单据对应设置-集团,分摊结转单据对应设置-集团
1001Z310000000039ZPR,功能-费用申请,费用申请
1001Z310000000039ZQ0,功能-费用趋势图分析,费用趋势图分析
1001Z310000000039ZQG,功能-费用类型设置,费用类型设置
1001Z310000000039ZQY,功能-通讯费报销单,通讯费报销单
1001Z31000000003A01Y,业务事件类型-ERM1003,ERM1003
1001Z31000000003A023,业务事件类型-ERM1012,ERM1012
1001Z31000000003A035,报表-报销人汇总表,报销人汇总表
1001Z31000000003A038,报表-成本中心费用明细账,成本中心费用明细账
1001Z31000000003A03M,报表-借款人借款账龄查询(明细),借款人借款账龄查询(明细)
1001Z31000000003A03O,报表-费用申请明细账表,费用申请明细账表
1001Z310000000039ZV9,菜单-财务会计,财务会计
1001Z310000000039ZX8,菜单-借款人借款余额表,借款人借款余额表
1001Z310000000039ZX9,菜单-申请部门费用申请执行情况查询,申请部门费用申请执行情况查询
1001Z310000000039ZXB,菜单-常用单据设置-组织II,常用单据设置-组织II
1001Z310000000039ZXC,业务事件插件-报销单转费用结转单监听,报销单转费用结转单监听
1001Z310000000039ZXD,业务事件插件-费用账同步,费用账同步
1001Z310000000039ZXF,业务事件插件-报销反关账前,报销反关账前
1001Z310000000039ZXG,业务事件插件-报销批量反关账前,报销批量反关账前
1001Z310000000039ZXH,业务事件插件-erm监听集团设置集团单据类型预置数据,erm监听集团设置集团单据类型预置数据
1001Z310000000039ZXI,业务事件插件-供应商报销信息合并,供应商报销信息合并
1001Z310000000039ZXJ,业务事件插件-冲借款控制插件,冲借款控制插件
1001Z310000000039ZXL,业务事件插件-冲借款控制插件,冲借款控制插件
1001Z310000000039ZXM,业务事件插件-事项审批预算控制,事项审批预算控制
1001Z310000000039ZXN,业务事件插件-费用结账反确认前需要校验结账情况,费用结账反确认前需要校验结账情况
1001Z310000000039ZXO,业务事件插件-费用申请单回写控制,费用申请单回写控制
1001Z310000000039ZVA,菜单-费用申请控制规则设置,费用申请控制规则设置
1001Z310000000039ZVB,菜单-费用结转,费用结转
1001Z310000000039ZVC,菜单-费用申请,费用申请
1001Z310000000039ZRS,单据模板-常用单据设置列表模板,常用单据设置列表模板
1001Z310000000039ZYF,业务事件插件-报销转费用插件,报销转费用插件
1001Z310000000039ZS8,单据模板-报销单默认模板,报销单默认模板
1001Z310000000039ZYU,业务事件插件-费用明细账同步,费用明细账同步
1001Z310000000039ZSJ,单据模板-差旅费借款单默认模板,差旅费借款单默认模板
1001Z31000000003A00B,系统参数-总账关账是否检查本系统结账状态,总账关账是否检查本系统结账状态
1001Z31000000003A00E,系统参数-还款期限(单位:天),还款期限(单位:天)
1001Z31000000003A00Y,消息模板-会议报销单审批消息模板,会议报销单审批消息模板
1001Z310000000039ZTQ,输出模板-报销标准打印模板,报销标准打印模板
1001Z310000000039ZWO,菜单-分摊结转单据对应设置-集团,分摊结转单据对应设置-集团
1001Z310000000039ZU9,查询模板-借款人借款明细账查询模板,借款人借款明细账查询模板
1001Z310000000039ZUO,查询模板-通讯费用报销单默认查询模板,通讯费用报销单默认查询模板
1001Z310000000039ZUT,查询模板-差旅费借款单默认查询模板,差旅费借款单默认查询模板
1001Z310000000039ZXA,菜单-常用单据设置-集团II,常用单据设置-集团II
1001Z310000000039ZXY,业务事件插件-借款控制插件,借款控制插件
1001Z310000000039ZPI,功能-批量关账,批量关账
1001Z310000000039ZPU,功能-分摊结转单据对应设置-组织,分摊结转单据对应设置-组织
1001Z310000000039ZQ9,功能-分摊规则设置-集团,分摊规则设置-集团
1001Z310000000039ZVD,菜单-费用申请单管理,费用申请单管理
1001Z310000000039ZVE,菜单-费用核算,费用核算
1001Z310000000039ZVF,菜单-分摊规则设置-集团,分摊规则设置-集团
1001Z310000000039ZVG,菜单-分摊规则设置-组织,分摊规则设置-组织
1001Z310000000039ZVH,菜单-待摊费用摊销,待摊费用摊销
1001Z310000000039ZVI,菜单-费用趋势图分析,费用趋势图分析
1001Z310000000039ZVJ,菜单-待摊费用摊销情况查询,待摊费用摊销情况查询
1001Z310000000039ZVK,菜单-费用申请单,费用申请单
1001Z310000000039ZVL,菜单-批量关账,批量关账
1001Z310000000039ZVM,菜单-借款人借款账龄分析查询,借款人借款账龄分析查询
1001Z310000000039ZVN,菜单-费用管理,费用管理
1001Z310000000039ZRT,单据模板-单据管理,单据管理
1001Z310000000039ZRU,单据模板-批冲借款匹配模板,批冲借款匹配模板
1001Z310000000039ZRV,单据模板-费用摊销过程记录,费用摊销过程记录
1001Z310000000039ZRW,单据模板-单据类型模板,单据类型模板
1001Z310000000039ZQR,功能-常用单据设置-集团,常用单据设置-集团
1001Z310000000039ZV4,查询模板-借款明细帐表查询模板,借款明细帐表查询模板
1001Z310000000039ZRX,单据模板-费用类型,费用类型
1001Z310000000039ZVO,菜单-单据录入,单据录入
